"Term","Course ID","Offer Nbr","Class Nbr","Section","Enrl Stat","Class Stat","Assoc","Session","Auto Enrol","Auto Enr 2","Class Type","Cap Enrl","Tot Enrl","Comb Sects ID","Combined Sect Cap Enrl","Combined Sect Tot Enrl"
"3310","013643","3","19758","LE02","Open","Active","10","1","","","Enrolment","10","7","","",""
"3310","013643","3","19759","PR03","Open","Active","10","1","","","Non-Enrol","5","3","","",""
"3310","102281","2","19569","PR02","Closed","Active","10","1","","","Non-Enrol","4","4","","",""
"3310","102281","2","19570","PR03","Closed","Active","10","1","","","Non-Enrol","5","5","","",""
"3310","103981","2","19620","TU01","Open","Active","10","1","","","Non-Enrol","7","4","","",""
"3310","103967","2","19668","TU05","Open","Active","10","1","","","Non-Enrol","2","1","","",""
"3310","103967","2","19667","LE01","Open","Active","10","1","","","Enrolment","2","1","","",""
"3310","103980","2","12101","PR05","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3310","017183","2","11525","TU01","Closed","Active","10","1","","","Non-Enrol","6","6","","",""
"3310","017183","2","11526","PR01","Closed","Active","10","1","","","Non-Enrol","6","6","","",""
"3310","106625","1","11537","TU01","Closed","ToBeCancel","10","1","","","Non-Enrol","25","0","","",""
"3310","103981","2","12103","PR02","Open","Active","10","1","","","Non-Enrol","7","4","","",""
"3310","103981","2","12104","PR05","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3310","013643","3","12106","LE01","Open","Active","10","1","","","Enrolment","5","3","","",""
"3310","013643","3","12107","PR01","Open","Active","10","1","","","Non-Enrol","5","3","","",""
"3310","013643","3","12108","PR02","Open","Active","10","1","","","Non-Enrol","5","4","","",""
"3310","102638","2","12109","LE01","Open","Active","10","1","","","Enrolment","15","9","","",""
"3310","102638","2","12110","PR01","Closed","Active","10","1","","","Non-Enrol","6","6","","",""
"3310","102638","2","12111","PR02","Closed","Active","10","1","","","Non-Enrol","3","3","","",""
"3310","016878","2","12112","LE01","Open","Active","10","1","","","Enrolment","20","15","","",""
"3310","016878","2","12113","PR01","Closed","Tentative","10","1","","","Non-Enrol","72","0","","",""
"3310","105876","2","12133","LE01","Open","Active","10","1","","","Enrolment","9","8","","",""
"3310","105876","2","12134","PR01","Open","Active","10","1","","","Non-Enrol","9","8","","",""
"3310","105876","2","12135","WR01","Open","Active","10","1","","","Non-Enrol","9","8","","",""
"3310","105876","2","12136","PR02","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3310","105876","2","12137","PR03","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3310","105876","2","12138","WR02","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3310","105876","2","12139","WR03","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3310","104852","2","12143","LE01","Open","Active","10","1","","","Enrolment","12","11","","",""
"3310","105439","2","12144","LE01","Closed","Active","10","1","","","Enrolment","0","0","","",""
"3310","105439","2","12145","PR01","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3310","105439","2","12146","PR02","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3310","105439","2","12147","PR03","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3310","105874","2","12156","LE01","Open","Active","10","1","","","Enrolment","78","3","","",""
